Column1,name,Random Forest,Logistic Regression,SVM,NN,Random Forest std,Logistic Regression std,SVM std,NN std,min std=rf,max,2 feat max
276,"r, edge connectivity, effective graph resistence",63.96%,63.92%,68.93%,68.58%,0.008086689,0.010000195,0.012816158,0.011221492,0.6395625,0.6893125,0
201,"SCC, degree centralization, spectral radius",68.89%,47.66%,51.86%,48.48%,0.008128845,0.009384162,0.010943034,0.027647403,0.688875,0.688875,0
258,"r, diam, edge connectivity",61.59%,64.24%,68.65%,68.48%,0.007857123,0.014001813,0.012772651,0.011885522,0.615875,0.6865,0
265,"r, den, edge connectivity",64.13%,64.01%,68.52%,68.50%,0.005069825,0.011242359,0.010691154,0.007043392,0.64125,0.6851875,0
199,"SCC, degree centralization, eigenvector centralization",67.94%,48.59%,60.13%,48.97%,0.014031215,0.017717951,0.009389364,0.027423544,0,0.679375,0
292,"r, effective graph resistence, spectral radius",67.92%,59.76%,64.43%,63.24%,0.008360996,0.016607721,0.010030422,0.013628583,0.67925,0.67925,0
204,"SCC, closeness centralization, effective graph resistence",67.86%,47.61%,52.46%,49.04%,0.013116217,0.018843102,0.011333199,0.019188721,0,0.6785625,0
203,"SCC, closeness centralization, eigenvector centralization",67.69%,49.10%,58.28%,49.18%,0.008904879,0.015083621,0.012340229,0.026392175,0.676875,0.676875,0
200,"SCC, degree centralization, effective graph resistence",67.58%,46.99%,53.04%,49.07%,0.009612817,0.014818696,0.014545322,0.018935437,0.67575,0.67575,0
162,"SCC, APL, closeness centralization",67.58%,45.47%,56.53%,47.09%,0.00842615,0.017114618,0.007343418,0.023976225,0,0.67575,0
210,"SCC, eigenvector centralization, spectral radius",67.28%,45.12%,50.51%,49.26%,0.010496465,0.023127449,0.014063056,0.029943697,0.6728125,0.6728125,0
186,"SCC, den, closeness centralization",67.27%,46.23%,51.69%,44.99%,0.013641761,0.016189913,0.016450684,0.016904604,0.6726875,0.6726875,0
196,"SCC, edge connectivity, spectral radius",67.22%,44.69%,50.31%,44.96%,0.005471874,0.014866594,0.012193108,0.011298679,0.6721875,0.6721875,0
290,"r, eigenvector centralization, effective graph resistence",62.91%,59.06%,67.15%,66.93%,0.008852966,0.022287977,0.010768153,0.009059051,0.629125,0.6715,0
208,"SCC, betweeness centralization, spectral radius",67.11%,35.87%,37.03%,51.71%,0.009694755,0.009138688,0.017801422,0.148576369,0,0.6710625,0
160,"SCC, APL, edge connectivity",66.96%,38.22%,45.59%,42.98%,0.011142016,0.022841591,0.008997395,0.011159532,0,0.6695625,0
269,"r, den, eigenvector centralization",62.84%,59.94%,66.77%,65.45%,0.010948209,0.026387216,0.00775126,0.010598496,0,0.6676875,0
185,"SCC, den, degree centralization",66.55%,45.45%,51.44%,44.56%,0.010431323,0.013010813,0.0162799,0.060809288,0.6655,0.6655,0
282,"r, degree centralization, spectral radius",66.53%,61.52%,65.43%,65.42%,0.014313046,0.010108977,0.009235631,0.009573115,0,0.6653125,0
281,"r, degree centralization, effective graph resistence",63.49%,61.39%,66.51%,65.61%,0.010418771,0.015572537,0.010256286,0.010296579,0,0.6650625,0
285,"r, closeness centralization, effective graph resistence",64.36%,62.13%,66.47%,65.14%,0.008418033,0.0177888,0.012058613,0.010258571,0.6435625,0.6646875,0
262,"r, diam, eigenvector centralization",61.43%,59.40%,66.44%,65.81%,0.011394215,0.026786482,0.010859364,0.010988097,0,0.6644375,0
218,"APL, r, eigenvector centralization",63.96%,59.23%,66.31%,62.55%,0.009823441,0.024062419,0.006743052,0.093310553,0,0.663125,0
259,"r, diam, degree centralization",60.53%,61.83%,66.27%,64.58%,0.009843304,0.014317275,0.008130047,0.008532108,0,0.6626875,0
286,"r, closeness centralization, spectral radius",65.36%,61.27%,66.14%,64.93%,0.006975403,0.014655417,0.004248621,0.006461726,0,0.6614375,0
266,"r, den, degree centralization",62.84%,60.51%,66.11%,65.30%,0.01061102,0.006164731,0.015776887,0.010624265,0,0.6610625,0
216,"APL, r, closeness centralization",63.85%,61.74%,66.09%,65.34%,0.016578883,0.012088379,0.015725303,0.013587822,0,0.6609375,0
280,"r, degree centralization, eigenvector centralization",63.61%,61.04%,65.95%,65.73%,0.011776068,0.007965747,0.00688522,0.007490619,0,0.6595,0
267,"r, den, closeness centralization",63.89%,62.23%,65.94%,64.70%,0.009341816,0.013526739,0.01277204,0.014311818,0.6389375,0.659375,0
260,"r, diam, closeness centralization",61.21%,61.61%,65.89%,65.10%,0.01064777,0.012626856,0.011166531,0.011125,0.612125,0.6589375,0
278,"r, degree centralization, closeness centralization",63.31%,62.14%,65.77%,64.12%,0.013096547,0.012398967,0.007347672,0.012423044,0,0.6576875,0
161,"SCC, APL, degree centralization",65.73%,45.59%,57.55%,47.03%,0.009001085,0.01718284,0.012411562,0.01889372,0.6573125,0.6573125,0
215,"APL, r, degree centralization",62.29%,61.77%,65.68%,65.28%,0.014609634,0.0086875,0.009021675,0.007650827,0,0.65675,0
284,"r, closeness centralization, eigenvector centralization",63.51%,61.65%,65.66%,65.00%,0.008260647,0.013852459,0.012781823,0.015137392,0.6350625,0.656625,0
164,"SCC, APL, eigenvector centralization",65.66%,36.03%,60.41%,47.56%,0.011288822,0.025473945,0.010980096,0.088096183,0,0.656625,0
184,"SCC, den, edge connectivity",65.64%,39.08%,44.31%,43.15%,0.007850159,0.012747702,0.012930101,0.012668243,0.656375,0.656375,0
163,"SCC, APL, betweeness centralization",65.51%,26.11%,54.04%,51.81%,0.009696367,0.034039327,0.010666097,0.096278811,0.6550625,0.6550625,0
183,"SCC, diam, spectral radius",65.47%,36.26%,39.11%,61.28%,0.008543318,0.013427467,0.014655017,0.050188084,0.6546875,0.6546875,0
291,"r, eigenvector centralization, spectral radius",63.65%,60.67%,65.47%,63.66%,0.007038954,0.021701184,0.007300738,0.010028086,0.6365,0.6546875,0
188,"SCC, den, eigenvector centralization",64.94%,38.93%,48.15%,50.84%,0.010683662,0.019236298,0.008004881,0.035004687,0,0.649375,0
207,"SCC, betweeness centralization, effective graph resistence",64.78%,39.44%,46.36%,49.08%,0.012311707,0.013684503,0.018051684,0.085774527,0.64775,0.64775,0
270,"r, den, effective graph resistence",64.69%,60.64%,64.67%,59.54%,0.012867868,0.021592913,0.013317194,0.128921624,0.6469375,0.6469375,0
198,"SCC, degree centralization, betweeness centralization",64.66%,44.64%,57.36%,46.52%,0.010012687,0.018249679,0.015591965,0.017482245,0.6465625,0.6465625,0
191,"SCC, edge connectivity, degree centralization",64.42%,49.06%,57.27%,50.32%,0.014877232,0.014966108,0.009686694,0.011430667,0,0.6441875,0
195,"SCC, edge connectivity, effective graph resistence",64.41%,45.05%,50.17%,43.09%,0.009487862,0.022011716,0.009810908,0.066725446,0.6440625,0.6440625,0
219,"APL, r, effective graph resistence",64.38%,59.25%,63.73%,61.39%,0.009760611,0.017266297,0.011832325,0.01050688,0.6438125,0.6438125,0
192,"SCC, edge connectivity, closeness centralization",64.37%,49.69%,56.41%,51.21%,0.00671984,0.008754463,0.015479826,0.015294122,0.64375,0.64375,0
197,"SCC, degree centralization, closeness centralization",64.37%,46.50%,53.81%,46.62%,0.007631401,0.013056368,0.013545208,0.007773402,0.6436875,0.6436875,0
202,"SCC, closeness centralization, betweeness centralization",64.23%,46.29%,55.68%,45.56%,0.015917389,0.017077946,0.012056022,0.013157697,0,0.6423125,0
209,"SCC, eigenvector centralization, effective graph resistence",64.21%,43.96%,51.14%,46.79%,0.01042102,0.032111926,0.012673946,0.027661528,0.6420625,0.6420625,0
288,"r, betweeness centralization, effective graph resistence",63.99%,61.42%,64.08%,62.63%,0.008743078,0.014763897,0.009005424,0.016399433,0.6399375,0.6408125,0
187,"SCC, den, betweeness centralization",64.06%,30.26%,35.56%,51.21%,0.015127066,0.040577328,0.010729086,0.084265693,0,0.640625,0
263,"r, diam, effective graph resistence",59.05%,59.03%,63.91%,56.39%,0.012076579,0.024154855,0.00776737,0.148406391,0,0.6390625,0
217,"APL, r, betweeness centralization",63.00%,53.79%,62.04%,55.38%,0.010771055,0.010720344,0.011082256,0.020894078,0,0.63,0
361,"degree centralization, betweeness centralization, eigenvector centralization",62.91%,46.72%,54.43%,45.94%,0.009930225,0.015449641,0.014970805,0.014541025,0.629125,0.629125,0
268,"r, den, betweeness centralization",62.88%,57.53%,62.76%,54.69%,0.0061301,0.011836286,0.009033142,0.017028125,0.62875,0.62875,0
